,category,count
5,japanese,115.0
2,chinese,27.0
7,stake,20.0
3,french,17.0
10,不明,12.0
8,western,6.0
4,italian,4.0
6,korean BBQ,4.0
1,bar,2.0
0,austlia,1.0
9,ビュッフェ,1.0
